RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,UPSIDE ,BUST ,SOS SEASON,ECR VS. ADP
1,1,Jahmyr Gibbs,DET,RB1,6,5 out of 5,1 out of 5,5 out of 5 stars,0
2,1,Bijan Robinson,ATL,RB2,11,5 out of 5,1 out of 5,2 out of 5 stars,0
3,1,Ja'Marr Chase,CIN,WR1,6,5 out of 5,1 out of 5,4 out of 5 stars,0
4,1,Puka Nacua,LAR,WR2,11,5 out of 5,2 out of 5,1 out of 5 stars,0
5,1,Jaxon Smith-Njigba,SEA,WR3,11,5 out of 5,2 out of 5,3 out of 5 stars,1
6,1,Amon-Ra St. Brown,DET,WR4,6,5 out of 5,1 out of 5,4 out of 5 stars,2
7,1,Christian McCaffrey,SF,RB3,8,4 out of 5,4 out of 5,2 out of 5 stars,-2
8,1,Jonathan Taylor,IND,RB4,13,4 out of 5,3 out of 5,4 out of 5 stars,-1
9,2,CeeDee Lamb,DAL,WR5,14,4 out of 5,2 out of 5,2 out of 5 stars,3
10,2,Justin Jefferson,MIN,WR6,6,5 out of 5,2 out of 5,5 out of 5 stars,0
11,2,James Cook III,BUF,RB5,7,4 out of 5,2 out of 5,2 out of 5 stars,-2
12,2,Ashton Jeanty,LV,RB6,13,5 out of 5,2 out of 5,2 out of 5 stars,-1
13,2,Drake London,ATL,WR7,11,4 out of 5,2 out of 5,3 out of 5 stars,4
14,2,Chase Brown,CIN,RB7,6,5 out of 5,2 out of 5,2 out of 5 stars,1
15,2,A.J. Brown,NE,WR8,11,5 out of 5,3 out of 5,2 out of 5 stars,8
16,2,Brock Bowers,LV,TE1,13,5 out of 5,2 out of 5,3 out of 5 stars,4
17,2,Saquon Barkley,PHI,RB8,10,4 out of 5,3 out of 5,4 out of 5 stars,-3
18,2,De'Von Achane,MIA,RB9,6,4 out of 5,4 out of 5,3 out of 5 stars,-5
19,2,Nico Collins,HOU,WR9,8,4 out of 5,3 out of 5,3 out of 5 stars,5
20,2,Omarion Hampton,LAC,RB10,7,5 out of 5,2 out of 5,3 out of 5 stars,-4
21,3,Derrick Henry,BAL,RB11,13,4 out of 5,2 out of 5,3 out of 5 stars,1
22,3,George Pickens,DAL,WR10,14,4 out of 5,4 out of 5,2 out of 5 stars,3
23,3,Trey McBride,ARI,TE2,14,4 out of 5,3 out of 5,2 out of 5 stars,-4
24,3,Kenneth Walker III,KC,RB12,5,4 out of 5,4 out of 5,3 out of 5 stars,-6
25,3,Rashee Rice,KC,WR11,5,4 out of 5,4 out of 5,2 out of 5 stars,4
26,3,Chris Olave,NO,WR12,8,4 out of 5,4 out of 5,3 out of 5 stars,2
,3,,,,,,,,
27,3,Josh Allen,BUF,QB1,7,5 out of 5,2 out of 5,3 out of 5 stars,-6
28,3,DeVonta Smith,PHI,WR13,10,4 out of 5,2 out of 5,4 out of 5 stars,6
29,3,Zay Flowers,BAL,WR14,13,5 out of 5,2 out of 5,4 out of 5 stars,9
30,3,Malik Nabers,NYG,WR15,8,4 out of 5,4 out of 5,4 out of 5 stars,2
31,3,Kyren Williams,LAR,RB13,11,4 out of 5,2 out of 5,5 out of 5 stars,-1
32,3,Tee Higgins,CIN,WR16,6,5 out of 5,2 out of 5,4 out of 5 stars,5
33,3,Tetairoa McMillan,CAR,WR17,5,4 out of 5,4 out of 5,2 out of 5 stars,6
34,3,Jeremiyah Love,ARI,RB14,14,5 out of 5,2 out of 5,2 out of 5 stars,-8
35,3,Lamar Jackson,BAL,QB2,13,4 out of 5,3 out of 5,3 out of 5 stars,1
36,4,Emeka Egbuka,TB,WR18,10,4 out of 5,3 out of 5,4 out of 5 stars,4
37,4,Josh Jacobs,GB,RB15,11,4 out of 5,4 out of 5,4 out of 5 stars,-10
38,4,Breece Hall,NYJ,RB16,13,4 out of 5,3 out of 5,3 out of 5 stars,-5
39,4,Ladd McConkey,LAC,WR19,7,4 out of 5,3 out of 5,2 out of 5 stars,5
40,4,Javonte Williams,DAL,RB17,14,4 out of 5,3 out of 5,4 out of 5 stars,-9
41,4,Garrett Wilson,NYJ,WR20,13,4 out of 5,4 out of 5,4 out of 5 stars,1
42,4,Colston Loveland,CHI,TE3,10,5 out of 5,2 out of 5,2 out of 5 stars,-1
43,4,Jaylen Waddle,DEN,WR21,10,4 out of 5,3 out of 5,2 out of 5 stars,5
44,4,Drake Maye,NE,QB3,11,5 out of 5,2 out of 5,2 out of 5 stars,10
45,4,Terry McLaurin,WAS,WR22,7,4 out of 5,2 out of 5,2 out of 5 stars,10
46,4,Travis Etienne Jr.,NO,RB18,8,4 out of 5,4 out of 5,3 out of 5 stars,-3
47,4,Davante Adams,LAR,WR23,11,3 out of 5,4 out of 5,1 out of 5 stars,11
48,4,Luther Burden III,CHI,WR24,10,4 out of 5,4 out of 5,3 out of 5 stars,-1
49,4,Joe Burrow,CIN,QB4,6,4 out of 5,4 out of 5,3 out of 5 stars,0
